"target","id","date","flag","user","text"
"""1970973843""","""Sat May 30 05:50:13 PDT 2009""","""NO_QUERY""","""dj_mrt""","""I`m waiting for a final decision from a hospital in NY that interviewed me for IT position. Please god help me to get this job  I need it""",""
"""1986665297""","""Sun May 31 19:09:10 PDT 2009""","""NO_QUERY""","""fastest963""","""@twitterapi I reset my consumer keys and now I'm getting &quot;Failed to validate oauth signature and token&quot; with the new keys """,""
"""1833943087""","""Mon May 18 01:01:47 PDT 2009""","""NO_QUERY""","""andreatangg""","""despite all the help"," i'm still going to fail my science test. """
"""1573244092""","""Tue Apr 21 00:18:27 PDT 2009""","""NO_QUERY""","""cheekyyy""","""@ItsMaryy will do ... maybe """,""
"""1564248061""","""Mon Apr 20 02:32:12 PDT 2009""","""NO_QUERY""","""chavie101""","""@PapareBoy everything about vista is a bitch... """,""
"""1972898410""","""Sat May 30 10:05:39 PDT 2009""","""NO_QUERY""","""brianwelburn""","""@lynnbryn Sigh ! OK "," I give up ! """
"""1988737713""","""Sun May 31 23:13:41 PDT 2009""","""NO_QUERY""","""hellomelanie""","""WTF it's soooo HOT! """,""
"""1965367280""","""Fri May 29 15:47:45 PDT 2009""","""NO_QUERY""","""aaronriveroll""","""@LaraLea awww"," we JUST missed you then!!  But I'll see you tonight!!"""
"""1880684862""","""Fri May 22 02:07:37 PDT 2009""","""NO_QUERY""","""Brenna_Bee""","""is having another crap friday nite at home """,""
"""1967772090""","""Fri May 29 20:11:03 PDT 2009""","""NO_QUERY""","""mokinbird01""","""@SuzeOrmanShow  can't afford fancy drs.  just whats in my lousy hmo! """,""
"""1971666542""","""Sat May 30 07:37:32 PDT 2009""","""NO_QUERY""","""jasonTHFC""","""@DionneSouth lucky u ! i've just got a Blackberry &amp; it seems 2 b 1 of the most awkward things install etc. so looking @ sun from pc """,""
"""1551040062""","""Sat Apr 18 07:59:09 PDT 2009""","""NO_QUERY""","""CodingMammoth""","""Found 2 bugs @ BlueBird  http://screens.delaender.net/0e4ad48a87bd4c0593931f6a4f652aef.png for example ... Very very basic bugs....""",""
"""1759200750""","""Sun May 10 18:41:17 PDT 2009""","""NO_QUERY""","""DaniGingerKid""","""@CarterTwins been trying to all week. the stupid thing wont let me sign in """,""
"""1882075375""","""Fri May 22 06:10:51 PDT 2009""","""NO_QUERY""","""iam_rAiNe""","""home alone on a friday night??  tis goin to be a stay-home weekend *sob*""",""
"""1933066272""","""Tue May 26 22:54:35 PDT 2009""","""NO_QUERY""","""aborteddonut""","""@lessthn3 Oh"," wow.  *hugs tight* &lt;3"""
"""1469866110""","""Tue Apr 07 07:39:01 PDT 2009""","""NO_QUERY""","""DontCallMeJules""","""@murri ohh!! I've been there (Old Spaghetti Factory)!! 'Cept it's been about 20 years... """,""
"""1958036297""","""Fri May 29 02:26:43 PDT 2009""","""NO_QUERY""","""Rachael102""","""im going to work """,""
"""1963283971""","""Fri May 29 12:29:27 PDT 2009""","""NO_QUERY""","""PKSS7""","""@djkaton I feel your pain man"," people say it's really good but I don't have the money to waste on a PS3 """
"""1966210418""","""Fri May 29 17:20:06 PDT 2009""","""NO_QUERY""","""JaymEsch""","""@wita  Still think it's unfair that Infamous isn't on PC. =/""",""
"""1972697389""","""Sat May 30 09:42:57 PDT 2009""","""NO_QUERY""","""hpdrrglover""","""@shelbi042195 no """,""
"""1551640070""","""Sat Apr 18 09:35:19 PDT 2009""","""NO_QUERY""","""tnybutdangerous""","""ughhhh. i'm getting sicker.  but i'm still going to prom. if only i could convince my parents to let me stay in a hotel with my friends """,""
"""1983353883""","""Sun May 31 12:59:53 PDT 2009""","""NO_QUERY""","""Awetitu""","""Successfully butchered 2 ims to someone on an important subject. I think I'm going silent for the rest of the day"," my language is fail. """
"""1981867213""","""Sun May 31 10:03:12 PDT 2009""","""NO_QUERY""","""AmyPredsfan""","""My gym just canceled the spin class for good. Which really sucks!  #Fail""",""
"""1968216855""","""Fri May 29 20:59:35 PDT 2009""","""NO_QUERY""","""Samwisegirl12""","""finally watching &quot;The Hunt for Gollum&quot; after far too long - I'm a bad Ringer  http://bit.ly/WNGMW""",""
